"WKT","Name","Provinsi","Kota","Kecamatan"
"POINT (97.96694860 2.39143370)","YZ_ SPOT RIMO","NANGGROE ACEH DARUSSALAM","SINGKIL","GUNUNG MERIAH-SNK"
"POINT (95.58863920 4.63503550)","YZ_ SPOT CALANG","NANGGROE ACEH DARUSSALAM","CALANG","KRUENG SABEE"
"POINT (96.24703820 5.25122780)","YZ_ SPOT Meureudu","NANGGROE ACEH DARUSSALAM","MEUREUDU","MEUREUDU"
"POINT (97.22308530 5.11639090)","YZ_ JNT EXPRESS DP GEUDONG","NANGGROE ACEH DARUSSALAM","LHOKSUKON","SAMUDERA"
"POINT (96.29661630 4.11706900)","YZ_ SPOT SUKA MAKMUE","NANGGROE ACEH DARUSSALAM","NAGAN RAYA","KUALA-SBS"
"POINT (96.13582230 4.17185420)","YZ_ Spot Kaway","NANGGROE ACEH DARUSSALAM","MEULABOH","JOHAN PAHLAWAN"
"POINT (95.94549610 5.37656210)","YZ_ Tangse","NANGGROE ACEH DARUSSALAM","SIGLI","TANGSE"
"POINT (98.04967570 4.29084180)","YZ_ SPOT KUALASIMPANG","NANGGROE ACEH DARUSSALAM","KUALA SIMPANG","KUALA SIMPANG"
"POINT (96.80745660 4.72127020)","YZ_ STR01 SIMPANG TIGA REDELONG","NANGGROE ACEH DARUSSALAM","SIMPANG TIGA REDELONG","BUKIT"
"POINT (97.34461220 3.98529700)","YZ_ BLANGKEJEREN","NANGGROE ACEH DARUSSALAM","GAYO LUES","BLANG KEJEREN"
"POINT (97.48513080 2.92588220)","YZ_ SPOT TRUMON","NANGGROE ACEH DARUSSALAM","ACEH SELATAN","BAKONGAN"
"POINT (96.37906070 2.46063000)","YZ_ SPOT SINABANG","NANGGROE ACEH DARUSSALAM","SINABANG","SIMEULUE TIMUR"
"POINT (95.96641280 2.59180930)","YZ_ SPOT KAMPUNG AIE","NANGGROE ACEH DARUSSALAM","SINABANG","SIMEULUE TENGAH"
